,빌딩명,구분,단지,타입,용도,지역,구역,지번,건축디자인/설계, 당해시장가격, 매도호가               (현재), 가격구간 (EXIT),전월대비등락, 유방수,시가/호가,호가/감정,현황, 보증금                  (최대), 월차임수익             (최대),연간수익율,토지비비율,FAR Potential,Facade Material,Exterior Condition,Interior Condition,Liquidity Risk,Market Demand Grading,Aesthetic Value,Maintenance Status,Repair Risk Level,Residential Unit, 감정평가금액     (최근6개월), Target Price    2026, 최저평가액                   (①+④), 모형가격(B)                     (②+④), 모형가격(A)                 (①+③), 최고평가액                 (②+③),대지면적 (M2),대지면적   (PY),연면적 (M2),연면적  (PY),STRUCTURE,지상층,지하층,준공일자,준공년도,토지  등급,건물    등급,건축    년수,상각율(%),최저적용가액  (PY),시세적용가액 (평),①토지산출가액      (최저가),②토지산출가액      (시세가), 평당재조달원가       (100%), 평당재조달원가  (감가상각후), ③건축물평가액 (100%), ④건축물평가액      (감가상각후),토지  소유권자,건물  소유권자,"토지
취득일","건물
취득일",소유방식,"설정금액
(채권최고액)",주채권자, 추정월이자액         (연4%), 추정월이자액       (5%),특이사항,감정가대비          부채비율,비 고
,경세원,HOLD,1단지,수익형,사옥,준공업,문발동,534-4,김영준,"  5,291,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,일부임대,"  245,000,000 ","  15,600,000 ",3.71%,45.3%,MEDIUM,Exposed Concrete,Average ●,Average ●,Moderate ■,Solid ●,Average ★,Good ●,High ●,Available,"  3,466,112,978 ","  3,880,138,508 ","  5,543,055,012 ","  6,026,135,412 ","  6,634,121,450 ","  7,117,201,850 ","1,331 ",403 ,"1,840 ",557 ,철근콘크리트조,4,0,2007-03-31,2007,BB,BBB,19,2%,"  6,800,000 ","  8,000,000 ","  2,737,455,600 ","  3,220,536,000 ","  7,000,000 ","  5,040,000 ","  3,896,665,850 ","  2,805,599,412 ",김영준,김영준,,,,"3,118,700,000 ",2008-5-26 / 국민은행  / 김영준,"  7,996,667 ","  9,995,833 ",,75%,
,경연사,HOLD,1단지,개발형,공장,준공업,문발동,507-10,천의영,"  2,657,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,일부임대,,,0.00%,68.2%,HIGH,"Base Panel, Zinc",Poor ●,Poor ●,Low ■,Solid ●,Poor ★,Good ●,High ●,Unavailable,"  1,678,474,634 ","  1,921,129,720 ","  2,744,471,029 ","  3,116,582,329 ","  3,264,704,025 ","  3,636,815,325 ","1,025 ",310 ,695 ,210 ,일반철골구조,2,0,2006-01-10,2006,BB,CCC,20,3%,"  6,800,000 ","  8,000,000 ","  2,108,630,700 ","  2,480,742,000 ","  5,500,000 ","  3,025,000 ","  1,156,073,325 ","  635,840,329 ",㈜경연사,㈜경연사,,,,"1,001,000,000 ","2005,2006,2007 / 외환은행 / ㈜경연사","  2,566,667 ","  3,208,333 ",,50%,
,경인문화사,HOLD,2단지,수익형,사옥,준공업,문발동,638-4,가아/최문규,"  11,676,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,전부사용,,,0.00%,33.7%,MEDIUM,Exposed Concrete,Exellent ●,Good ●,Moderate ■,Solid ●,Good ★,Exellent ●,Low ●,Unavailable,"  8,297,327,132 ","  9,168,113,070 ","  13,097,304,385 ","  13,859,377,510 ","  14,294,425,750 ","  15,056,498,875 ","1,680 ",508 ,"4,397 ","1,330 ",철근콘크리트조,4,1,2015-11-06,2015,BBB,A,11,2%,"  8,500,000 ","  10,000,000 ","  4,318,414,375 ","  5,080,487,500 ","  7,500,000 ","  6,600,000 ","  9,976,011,375 ","  8,778,890,010 ",경인문화사,경인문화사,,,,,,,,,0%,
,고래곰나비,EXIT,1단지,수익형,상가,일반상업,문발동,530-2,여헌/김영조,"  5,744,000,000 ","  6,000,000,000 ", 50억 이상,_, ● 0,104.5%,145.5%,전부임대,,,0.00%,33.3%,MEDIUM,Exposed Concrete,Average ●,Average ●,Moderate ■,Solid ●,Average ★,Exellent ●,Medium ●,Unavailable,"  4,124,662,596 ","  4,554,211,537 ","  6,506,016,481 ","  6,873,951,013 ","  6,997,244,719 ","  7,365,179,250 ",649 ,196 ,"2,320 ",702 ,철근콘크리트조,4,1,2014-12-09,2016,AA,BBB,10,2%,"  10,625,000 ","  12,500,000 ","  2,084,962,344 ","  2,452,896,875 ","  7,000,000 ","  6,300,000 ","  4,912,282,375 ","  4,421,054,138 ",장구범외 1인,장구범외 1인,,,,,,,,,0%,
,골데나한트,HOLD,2단지,수익형,지산,준공업,서패동,472-2,광장/김원,"  7,177,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,일부임대,"  225,000,000 ","  22,300,000 ",3.85%,36.4%,MEDIUM,"Zinc, Exposed Concrete",Good ●,Average ●,High ■,Solid ●,Good ★,Exellent ●,Low ●,Unavailable,"  5,139,449,174 ","  5,688,295,834 ","  8,126,136,906 ","  8,629,218,606 ","  8,712,285,863 ","  9,215,367,563 ","1,386 ",419 ,"2,981 ",902 ,철근콘크리트조,4,1,2016-12-20,2016,BB,BB,10,2%,"  6,800,000 ","  8,000,000 ","  2,850,796,300 ","  3,353,878,000 ","  6,500,000 ","  5,850,000 ","  5,861,489,563 ","  5,275,340,606 ",슈바이처,슈바이처,,,,,,,,,0%,
,과학상자,HOLD,2단지,수익형,지산,준공업,서패동,471-4,아르키움/김인철,"  3,859,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,일부임대,"  150,000,000 ","  10,600,000 ",3.43%,33.4%,MEDIUM,"Exposed Concrete, Glass / Curtain Wall",Good ●,Good ●,Moderate ■,High ●,Good ★,Exellent ●,Low ●,Available,"  2,743,091,780 ","  3,030,269,550 ","  4,328,956,500 ","  4,578,591,600 ","  4,726,368,900 ","  4,976,004,000 ",688 ,208 ,"1,564 ",473 ,철근콘크리트조,5,1,2015-12-30,2015,BB,BBB,11,2%,"  6,800,000 ","  8,000,000 ","  1,414,598,900 ","  1,664,234,000 ","  7,000,000 ","  6,160,000 ","  3,311,770,000 ","  2,914,357,600 ",,,,,,,,,,,0%,
,광문각,HOLD,1단지,수익형,사옥,준공업,문발동,500-8,인토/방철린,"  3,604,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,전부사용,,,0.00%,57.5%,HIGH,Stone Cladding,Good ●,Average ●,Moderate ■,Solid ●,Average ★,Good ●,Medium ●,Unavailable,"  2,395,559,060 ","  2,706,532,958 ","  3,866,475,654 ","  4,281,711,354 ","  4,398,236,563 ","  4,813,472,263 ","1,144 ",346 ,"1,040 ",315 ,철근콘크리트조,4,0,2008-04-16,2008,BB,BB,18,2%,"  6,800,000 ","  8,000,000 ","  2,353,002,300 ","  2,768,238,000 ","  6,500,000 ","  4,810,000 ","  2,045,234,263 ","  1,513,473,354 ",박정태,박정태,,,,"1,600,000,000 ",2008-5-21 / 산업은행 / 박정태,"  4,102,564 ","  6,458,300 ",,56%,
,교문사,HOLD,1단지,예술형,사옥,준공업,문발동,536-2,이민아+다니엘바예,"  6,409,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,전부사용,,,0.00%,58.0%,HIGH,Exposed Concrete,Good ●,Poor ●,Moderate ■,High ●,Excellent ★,Good ●,High ●,Unavailable,"  4,197,366,096 ","  4,748,962,988 ","  6,784,232,840 ","  7,533,827,840 ","  7,871,316,200 ","  8,620,911,200 ","1,652 ",500 ,"1,497 ",453 ,철골철근콘크리트조,3,0,2006-04-21,2006,BBB,AA,20,2%,"  8,500,000 ","  10,000,000 ","  4,247,705,000 ","  4,997,300,000 ","  8,000,000 ","  5,600,000 ","  3,623,611,200 ","  2,536,527,840 ",㈜교문사,㈜교문사,,,,"1,915,000,000 ",2005-8-24 / 산업은행 / ㈜교문사,"  4,910,256 ","  7,750,000 ",,38%,
,교보문고,HOLD,1단지,사업형,사옥,준공업,문발동,501-1,이로재/승효상/정효원,"  40,272,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,전부사용,,,0.00%,37.5%,MEDIUM,Stone Cladding,Good ●,Average ●,Critical ■,Low ●,Good ★,Exellent ●,Low ●,Unavailable,"  26,555,851,880 ","  29,525,711,485 ","  42,179,587,835 ","  45,217,988,585 ","  50,950,014,500 ","  53,988,415,250 ","6,696 ","2,026 ","15,930 ","4,819 ",철근콘크리트조,3,0,2008-07-24,2008,BBB,BBB,18,2%,"  8,500,000 ","  10,000,000 ","  17,217,604,250 ","  20,256,005,000 ","  7,000,000 ","  5,180,000 ","  33,732,410,250 ","  24,961,983,585 ",교보문고,교보문고,2004-12-31,2008-08-28,최초분양,0 ,,  - ,  - ,,0%,
,교육과학사,HOLD,1단지,수익형,사옥,준공업,문발동,514-5,인토/방철린,"  3,356,000,000 ",, 해당없음,_, ● 0,0.0%,0.0%,일부임대,,,0.00%,54.6%,HIGH,Exposed Concrete,Good ●,Poor ●,Moderate ■,High ●,Good ★,Good ●,Medium ●,Unavailable,"  2,174,285,512 ","  2,454,935,907 ","  3,507,051,295 ","  3,878,690,695 ","  4,166,389,975 ","  4,538,029,375 ","1,024 ",310 ,"1,048 ",317 ,철근콘크리트조,4,0,2005-12-01,2005,BB,BB,21,2%,"  6,800,000 ","  8,000,000 ","  2,105,956,600 ","  2,477,596,000 ","  6,500,000 ","  4,420,000 ","  2,060,433,375 ","  1,401,094,695 ",김동규,김동규,,,,"840,000,000 ",2005-9-20 / 우리은행 / 김동규,"  2,153,846 ","  2,692,308 ",,32%,
